PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2010,18.75,-95.75,10.8,11.38,17.09,19.26,22.24,20.31,18.27,17.22,14.74,16.99,15.59,13.91,16.52
ALLSKY_SFC_SW_DWN,2010,18.75,-96.25,11.53,11.37,16.89,17.59,21.37,21.32,17.87,17.72,14.92,17.51,16.73,14.77,16.67
ALLSKY_SFC_SW_DWN,2010,18.75,-96.75,11.53,11.37,16.89,17.59,21.37,21.32,17.87,17.72,14.92,17.51,16.73,14.77,16.67
ALLSKY_SFC_SW_DWN,2010,18.75,-97.25,14.87,18.29,24.09,24.48,24.83,22.56,18.38,18.71,17.19,21.75,19.26,19.07,20.3
ALLSKY_SFC_SW_DWN,2010,18.75,-97.75,14.87,18.29,24.09,24.48,24.83,22.56,18.38,18.71,17.19,21.75,19.26,19.07,20.3
ALLSKY_SFC_SW_DWN,2010,19.25,-95.75,11.09,12.04,17.94,20.8,23.65,21.74,18.96,19.67,16.92,18.68,16.43,13.54,17.65
ALLSKY_SFC_SW_DWN,2010,19.25,-96.25,11.48,11.92,17.31,18.11,21.8,21.29,17.82,18.04,16.26,17.43,16.47,14.32,16.88
ALLSKY_SFC_SW_DWN,2010,19.25,-96.75,11.48,11.92,17.31,18.11,21.8,21.29,17.82,18.04,16.26,17.43,16.47,14.32,16.88
ALLSKY_SFC_SW_DWN,2010,19.25,-97.25,13.68,16.15,21.43,20.18,23.26,20.55,15.86,16.95,15.76,19.73,17.98,17.23,18.24
ALLSKY_SFC_SW_DWN,2010,19.25,-97.75,13.68,16.15,21.43,20.18,23.26,20.55,15.86,16.95,15.76,19.73,17.98,17.23,18.24
ALLSKY_SFC_SW_DWN,2010,19.75,-95.75,11.09,12.04,17.94,20.8,23.65,21.74,18.96,19.67,16.92,18.68,16.43,13.54,17.65
ALLSKY_SFC_SW_DWN,2010,19.75,-96.25,11.48,11.92,17.31,18.11,21.8,21.29,17.82,18.04,16.26,17.43,16.47,14.32,16.88
ALLSKY_SFC_SW_DWN,2010,19.75,-96.75,11.48,11.92,17.31,18.11,21.8,21.29,17.82,18.04,16.26,17.43,16.47,14.32,16.88
ALLSKY_SFC_SW_DWN,2010,19.75,-97.25,13.68,16.15,21.43,20.18,23.26,20.55,15.86,16.95,15.76,19.73,17.98,17.23,18.24
