PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,18.75,-95.75,19.9,20.65,22.16,26.17,28.76,29.2,27.7,27.41,26.82,24.61,23.22,20.77,24.8
T2M,2010,18.75,-96.25,19.15,20.2,22.6,26.92,29.89,29.76,27.28,26.67,26.12,23.62,22.45,20.08,24.58
T2M,2010,18.75,-96.75,14.84,16.04,18.8,22.65,24.72,24.54,22.41,21.69,21.49,18.63,17.54,15.07,19.88
T2M,2010,18.75,-97.25,11.59,13.06,16,19.13,20.59,19.92,17.89,17.34,17.24,14.65,13.54,11.19,16.02
T2M,2010,18.75,-97.75,11.65,12.94,16.22,18.8,20.43,19.26,16.75,16.4,16.19,14.19,13.2,11.13,15.6
T2M,2010,19.25,-95.75,20.54,21.02,21.82,25.02,27.53,28.65,28.06,28.22,27.64,25.59,24.11,21.75,25.01
T2M,2010,19.25,-96.25,19.39,20.24,21.89,25.69,28.48,29.06,27.35,27.15,26.52,24.12,22.94,20.65,24.48
T2M,2010,19.25,-96.75,14.71,15.73,18.43,22.15,24.47,24.56,22.42,21.82,21.46,18.61,17.46,15.2,19.77
T2M,2010,19.25,-97.25,11.06,12.28,15.3,18.3,20.03,19.48,17.53,17.02,16.81,14.13,12.96,10.8,15.49
T2M,2010,19.25,-97.75,10.05,11.06,14.39,16.78,18.52,17.53,15.37,15.01,14.72,12.6,11.55,9.56,13.94
T2M,2010,19.75,-95.75,20.85,21.17,21.6,24.33,26.88,28.46,28.25,28.65,28.05,26.11,24.55,22.19,25.11
T2M,2010,19.75,-96.25,19.65,20.4,21.4,24.58,27.15,28.42,27.59,27.74,27.14,24.95,23.54,21.17,24.5
T2M,2010,19.75,-96.75,15.27,16.28,18.63,22.46,25.13,25.75,23.73,23.38,22.76,20.05,18.73,16.46,20.74
T2M,2010,19.75,-97.25,12.3,13.39,16.21,19.81,22.12,22.06,19.92,19.51,18.97,16.09,14.74,12.59,17.33
