PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2010,18.75,-95.75,20.32,21.23,22.97,27.07,30.06,29.74,28.05,27.61,27.03,24.86,23.45,21.24,25.32
TS,2010,18.75,-96.25,19.3,20.6,23.55,28.17,31.67,30.7,27.53,26.74,26.1,23.62,22.4,20.23,25.06
TS,2010,18.75,-96.75,14.81,16.15,19.37,23.47,25.79,25.26,22.6,21.76,21.42,18.45,17.28,14.87,20.11
TS,2010,18.75,-97.25,11.91,13.54,17.05,20.63,22.35,21.3,18.43,17.83,17.54,14.96,13.87,11.3,16.73
TS,2010,18.75,-97.75,12.1,13.63,17.63,20.81,22.89,21.1,17.42,17,16.59,14.71,13.91,11.48,16.61
TS,2010,19.25,-95.75,21.49,22,22.65,25.47,28.19,28.81,28.56,28.66,28.16,26.24,24.71,22.88,25.67
TS,2010,19.25,-96.25,20.02,21.05,22.84,26.59,29.77,29.72,27.71,27.37,26.75,24.47,23.29,21.39,25.1
TS,2010,19.25,-96.75,14.85,16.03,19.2,23.06,25.75,25.5,22.73,21.99,21.5,18.58,17.44,15.25,20.17
TS,2010,19.25,-97.25,11.25,12.62,16.14,19.53,21.53,20.77,18.07,17.5,17.16,14.36,13.24,10.73,16.09
TS,2010,19.25,-97.75,10.31,11.49,15.35,18.35,20.47,19.19,16.04,15.65,15.23,13,12.09,9.5,14.73
TS,2010,19.75,-95.75,22.17,22.48,22.48,24.59,27.22,28.57,28.91,29.28,28.71,26.9,25.38,23.7,25.88
TS,2010,19.75,-96.25,20.98,21.76,22.41,25.13,27.88,28.81,28.26,28.33,27.81,25.85,24.42,22.56,25.37
TS,2010,19.75,-96.75,15.75,16.88,19.4,23.33,26.39,26.77,24.17,23.68,23.02,20.33,19,16.85,21.31
TS,2010,19.75,-97.25,12.3,13.54,16.59,20.54,23.12,22.99,20.24,19.72,19.14,16.03,14.71,12.25,17.61
TS,2010,19.75,-97.75,10.44,11.55,14.98,18.51,20.78,20.16,17.42,16.95,16.4,13.32,12.13,9.55,15.2
TS,2010,20.25,-95.75,22.58,22.75,22.44,24.33,26.96,28.79,29.1,29.59,28.94,27.18,25.66,24.05,26.05
TS,2010,20.25,-96.25,21.99,22.5,22.38,24.35,26.89,28.53,28.87,29.24,28.81,27.02,25.32,23.55,25.8
TS,2010,20.25,-96.75,18.63,19.54,20.97,24.36,27.39,28.5,26.93,26.89,26.28,23.96,22.34,20.27,23.86
TS,2010,20.25,-97.25,15.46,16.6,19.15,23.59,26.93,27.59,24.69,24.39,23.61,20.58,18.89,16.5,21.52
TS,2010,20.25,-97.75,12.72,13.88,17.04,21.68,24.92,25.14,21.91,21.45,20.66,17.25,15.55,12.99,18.79
