PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M,2010,18.75,-95.75,3.48,3.1,3.36,2.87,2.93,2.82,2.73,2.49,3.27,3.29,3.18,3.13,3.05
WS2M,2010,18.75,-96.25,2.43,2.43,2.7,2.34,2.36,2.09,1.91,1.82,2.15,2.33,2.23,2.16,2.24
WS2M,2010,18.75,-96.75,1.28,1.33,1.58,1.48,1.55,1.34,1.14,1.1,1.21,1.34,1.29,1.22,1.32
WS2M,2010,18.75,-97.25,2.07,2.25,2.22,1.86,2.05,2.21,2.14,2.27,1.92,1.99,1.85,1.86,2.06
WS2M,2010,18.75,-97.75,2.61,2.76,2.61,2.16,2.21,2.55,2.53,2.66,2.18,2.36,2.2,2.25,2.42
WS2M,2010,19.25,-95.75,4.77,4.25,4.37,3.52,3.5,3.48,3.66,3.28,4.62,4.44,4.4,4.39,4.05
WS2M,2010,19.25,-96.25,3.64,3.43,3.59,2.76,2.7,2.47,2.5,2.28,3.27,3.38,3.31,3.28,3.05
WS2M,2010,19.25,-96.75,2.09,2.08,2.34,1.99,2.06,1.86,1.68,1.53,2.08,2.13,2.12,1.99,2
WS2M,2010,19.25,-97.25,1.98,2.28,2.16,1.82,1.94,2.05,2.02,2.01,2.06,1.97,1.82,1.71,1.99
WS2M,2010,19.25,-97.75,2.12,2.54,2.19,1.88,1.78,2.1,2.21,2.24,2.04,2.02,1.75,1.71,2.05
WS2M,2010,19.75,-95.75,5.52,4.93,4.98,3.94,3.93,4.11,4.3,3.61,5.23,4.95,5.19,5.12,4.65
WS2M,2010,19.75,-96.25,4.97,4.5,4.57,3.39,3.34,3.22,3.36,2.86,4.46,4.47,4.63,4.53,4.02
WS2M,2010,19.75,-96.75,3.07,2.9,3.12,2.54,2.66,2.51,2.34,2.02,3,2.9,3.02,2.8,2.74
WS2M,2010,19.75,-97.25,1.83,1.95,1.98,1.74,1.85,1.81,1.68,1.53,1.88,1.77,1.75,1.6,1.78
WS2M,2010,19.75,-97.75,1.31,1.59,1.47,1.37,1.39,1.48,1.42,1.36,1.38,1.3,1.16,1.11,1.36
WS2M,2010,20.25,-95.75,5.74,5.18,5.25,4.2,4.33,4.62,4.7,3.65,5.25,4.93,5.48,5.34,4.89
WS2M,2010,20.25,-96.25,5.73,5.14,5.29,4.09,4.19,4.15,4.2,3.3,5.12,5,5.54,5.33,4.75
WS2M,2010,20.25,-96.75,4.11,3.76,3.91,3.22,3.45,3.19,3.11,2.52,3.75,3.54,3.89,3.66,3.5
WS2M,2010,20.25,-97.25,2.39,2.32,2.45,2.26,2.37,2.15,1.96,1.65,2.22,2.02,2.2,2.06,2.17
WS2M,2010,20.25,-97.75,1.36,1.43,1.58,1.63,1.69,1.61,1.38,1.21,1.38,1.21,1.26,1.19,1.41
WS2M,2011,18.75,-95.75,3.22,3.32,3.16,3.42,3.34,3.29,2.46,1.98,2.84,3.35,3.32,3.06,3.06
WS2M,2011,18.75,-96.25,2.32,2.43,2.49,2.66,2.55,2.41,1.87,1.51,1.91,2.35,2.34,2.16,2.25
WS2M,2011,18.75,-96.75,1.29,1.42,1.57,1.69,1.59,1.46,1.16,1,1.13,1.33,1.32,1.19,1.34
WS2M,2011,18.75,-97.25,1.85,1.98,2.02,2.01,2.07,2.15,2.24,1.92,1.89,2.11,1.9,1.86,2
WS2M,2011,18.75,-97.75,2.29,2.35,2.35,2.18,2.24,2.45,2.63,2.2,2.27,2.49,2.29,2.29,2.34
WS2M,2011,19.25,-95.75,4.38,4.4,3.91,4.24,4.06,4.03,3.13,2.62,3.99,4.46,4.53,4.16,3.99
WS2M,2011,19.25,-96.25,3.38,3.41,3.1,3.28,3.03,2.92,2.14,1.9,2.81,3.29,3.43,3.14,2.98
WS2M,2011,19.25,-96.75,2.04,2.16,2.25,2.42,2.17,2.02,1.54,1.39,1.88,2.1,2.1,1.8,1.99
WS2M,2011,19.25,-97.25,1.78,1.97,1.99,2.1,2.05,2.07,1.99,1.75,1.91,2.01,1.79,1.6,1.92
WS2M,2011,19.25,-97.75,1.84,1.97,1.9,1.89,1.95,2.11,2.16,1.85,1.98,2.08,1.74,1.62,1.92
WS2M,2011,19.75,-95.75,4.95,5.1,4.39,4.93,4.71,4.52,3.6,3.04,4.51,4.86,5.2,4.79,4.54
WS2M,2011,19.75,-96.25,4.46,4.56,3.85,4.3,3.93,3.7,2.73,2.55,3.76,4.16,4.65,4.32,3.91
WS2M,2011,19.75,-96.75,2.83,3.02,2.85,3.22,2.89,2.7,2.05,1.86,2.56,2.75,2.97,2.6,2.69
WS2M,2011,19.75,-97.25,1.68,1.89,1.87,2.13,1.97,1.9,1.59,1.4,1.68,1.71,1.71,1.49,1.75
WS2M,2011,19.75,-97.75,1.19,1.38,1.38,1.55,1.55,1.56,1.39,1.2,1.29,1.29,1.14,1.03,1.33
WS2M,2011,20.25,-95.75,5.03,5.45,4.66,5.36,5.22,4.74,3.94,3.29,4.57,4.68,5.33,4.97,4.76
WS2M,2011,20.25,-96.25,5.05,5.42,4.52,5.37,5,4.4,3.44,3.19,4.29,4.46,5.41,5.09,4.62
WS2M,2011,20.25,-96.75,3.64,3.96,3.48,4.11,3.85,3.4,2.65,2.43,3.09,3.16,3.86,3.58,3.42
WS2M,2011,20.25,-97.25,2.2,2.45,2.3,2.72,2.57,2.33,1.78,1.56,1.89,1.86,2.22,2.08,2.16
WS2M,2011,20.25,-97.75,1.34,1.54,1.61,1.9,1.85,1.73,1.37,1.14,1.27,1.18,1.3,1.24,1.45
WS2M,2012,18.75,-95.75,3.17,2.97,2.8,2.95,3.03,2.28,2.29,2.5,2.71,2.92,2.9,3.01,2.79
WS2M,2012,18.75,-96.25,2.37,2.04,2.19,2.3,2.39,1.8,1.64,1.85,1.98,2.11,2.12,2.12,2.08
WS2M,2012,18.75,-96.75,1.31,1.19,1.42,1.51,1.5,1.2,1.05,1.14,1.14,1.19,1.19,1.2,1.26
WS2M,2012,18.75,-97.25,1.97,1.75,2.18,2.01,2.12,1.79,2.27,1.96,1.94,2.02,2.14,1.76,2
WS2M,2012,18.75,-97.75,2.43,2.14,2.59,2.28,2.35,2.03,2.69,2.25,2.29,2.39,2.69,2.17,2.36
WS2M,2012,19.25,-95.75,4.19,4.09,3.43,3.78,3.77,3.04,2.97,3.3,3.66,3.92,3.9,4.18,3.69
WS2M,2012,19.25,-96.25,3.3,3.06,2.65,2.92,2.98,2.27,1.86,2.35,2.66,2.88,2.94,3.19,2.75
WS2M,2012,19.25,-96.75,2,1.9,1.98,2.11,2.04,1.67,1.4,1.63,1.72,1.75,1.81,1.91,1.83
WS2M,2012,19.25,-97.25,1.81,1.62,1.95,1.97,2.02,1.7,1.91,1.87,1.83,1.8,1.81,1.66,1.83
WS2M,2012,19.25,-97.75,1.86,1.63,1.94,1.94,2.01,1.69,2.08,1.96,1.91,1.87,1.97,1.7,1.88
WS2M,2012,19.75,-95.75,4.72,4.81,3.87,4.33,4.13,3.57,3.49,3.76,4.11,4.29,4.36,4.93,4.19
WS2M,2012,19.75,-96.25,4.27,4.27,3.34,3.73,3.61,3.04,2.55,3.02,3.48,3.62,3.81,4.47,3.6
WS2M,2012,19.75,-96.75,2.74,2.76,2.57,2.72,2.56,2.27,1.98,2.12,2.33,2.29,2.47,2.74,2.46
WS2M,2012,19.75,-97.25,1.65,1.61,1.74,1.84,1.8,1.59,1.53,1.52,1.53,1.47,1.52,1.58,1.62
